Food,Calories,Protein,Fat,Carbohydrates,Nutrition Density
premium grilled chicken classic sandwich mcdonalds,366,28.3,8.6,44.6,167.718
big n tasty with cheese mcdonalds,573,27.2,36.0,39.7,339.7
premium grilled chicken club sandwich mcdonalds,493,38.3,18.0,44.3,328.1
quarter pounder mcdonalds,417,24.1,19.8,37.9,233.7
premium crispy chicken classic sandwich mcdonalds,524,27.8,20.0,58.6,196.9
veggie burger,124,11.0,4.4,10.0,128.9
quarter pounder with cheese mcdonalds,513,29.0,28.3,39.7,392.2
beef sandwich steak raw,173,9.2,15.1,0.0,32.0
cheeseburger,292,15.0,13.2,28.7,60.289
premium grilled chicken ranch blt sandwich mcdonalds,412,33.7,10.9,44.3,181.4
double whopper with cheese burger king,1061,57.7,68.1,53.9,519.2
big mac mcdonalds,563,25.9,32.8,44.0,365.5
sandwich with cold cuts,833,41.1,39.3,79.9,166.871
filet o fish mcdonalds,378,15.1,19.6,35.4,235.3
hand breaded chicken tenders carls jr,57,0.0,2.9,0.2,3.1
grilled chicken sandwich wendys,370,0.0,8.0,0.0,8.0
sandwich with roast beef,410,28.6,13.0,44.3,135.393
hamburger burger king,258,14.7,10.4,26.5,54.28
big n tasty mcdonalds,524,24.7,31.7,38.5,257.7
roast beef sandwich,364,22.6,15.3,33.1,73.951
roast beef sandwich with cheese,473,32.2,18.0,45.4,283.72
hamburger,255,12.9,9.9,28.7,53.859
premium fish sandwich burger king,572,22.6,27.4,58.7,195.8
whopper burger king,790,35.4,48.4,52.8,405.8
sandwich with tuna salad,584,29.7,28.0,55.4,193.569
original chicken sandwich burger king,569,24.2,29.2,52.2,205.9
double whopper burger king,942,52.1,58.6,51.4,309.4
premium crispy chicken club sandwich mcdonalds,635,39.1,29.9,57.4,376.2
hamburger mcdonalds,251,12.3,9.6,28.8,52.357
pepperoni pizza dominos,308,12.7,12.6,36.0,226.5
sausage pizza,325,13.3,14.3,35.5,66.337
pepperoni pizza,313,13.0,13.2,35.5,64.836
pepperoni pizza pizza hut,269,12.3,10.9,30.3,206.086
cheese pizza pizza hut,260,11.5,10.5,30.0,256.272
cheese pizza,285,12.2,10.4,35.7,61.304
cheese pizza dominos,278,11.7,9.7,35.9,243.663
meat vegetable pizza,332,15.0,14.8,34.5,233.148
sucker raw,146,26.6,3.7,0.0,143.779
northern pike raw,348,76.3,2.7,0.0,321.946
haddock cooked,135,30.0,0.8,0.0,52.159
burbot cooked,104,22.3,0.9,0.0,81.891
pollock cooked,356,75.3,3.8,0.0,313.428
rainbow smelt raw,27,5.0,0.7,0.0,23.004
whitefish cooked,265,37.7,11.6,0.0,100.864
walleye pike raw,148,30.4,1.9,0.0,209.316
carp cooked,275,38.9,12.2,0.0,144.989
wolffish cooked,293,53.4,7.3,0.0,80.3
snapper cooked,218,44.7,2.9,0.0,118.742
roe cooked,58,8.1,2.3,0.5,23.609
anchovy raw,37,5.8,1.4,0.0,49.714
herring raw,291,33.0,16.6,0.0,157.898
cod raw,189,41.1,1.5,0.0,82.88
tilapia raw,111,23.3,2.0,0.0,37.5
whiting cooked,84,16.9,1.2,0.0,63.037
skipjack tuna cooked,407,86.9,4.0,0.0,212.936
salmon cooked,733,78.7,44.0,0.0,190.7
chum salmon cooked,474,79.5,14.9,0.0,139.8
american shad cooked,363,31.3,25.4,0.0,144.967
shark cooked,65,5.3,3.9,1.8,25.548
trout cooked,118,16.5,5.3,0.0,57.496
swordfish raw,196,26.7,9.0,0.0,43.072
rainbow trout cooked,119,16.9,5.2,0.0,22.557
fish sandwich with cheese,374,15.1,19.6,35.4,235.0
jellyfish dried,21,3.2,0.8,0.0,6.517
mullet raw,139,23.0,4.5,0.0,78.949
halibut cooked,353,71.7,5.1,0.0,78.934
lingcod raw,213,44.2,2.7,0.0,82.778
orange roughy cooked,30,6.4,0.3,0.0,10.146
cisco raw,77,15.0,1.5,0.0,26.367
florida pompano cooked,186,20.8,10.7,0.0,69.911
snapper raw,218,44.7,2.9,0.0,121.32
fish sandwich,565,22.6,27.4,58.7,109.3
haddock raw,143,31.5,0.9,0.0,53.952
ocean perch raw,51,9.8,1.0,0.0,28.835
cuttlefish cooked,45,9.2,0.4,0.5,66.521
cod cooked,189,41.1,1.5,0.0,70.534
seatrout raw,248,39.8,8.6,0.0,89.528
flounder raw,114,20.2,3.1,0.0,57.837
spot cooked,79,11.9,3.1,0.0,24.239
walleye pike cooked,148,30.4,1.9,0.0,209.213
perch raw,55,11.6,0.6,0.0,61.715
pumpkin seed sunfish raw,43,9.3,0.3,0.0,49.154
salt mackerel,415,25.2,34.1,0.0,151.025
mackerel cooked,231,21.0,15.7,0.0,51.733
tilapia cooked,111,22.8,2.3,0.0,37.9
drum raw,236,34.7,9.8,0.0,167.2
atlantic croaker fried,192,15.8,11.0,6.6,62.209
pumpkin seed sunfish cooked,42,9.2,0.3,0.0,48.674
wolffish raw,294,53.6,7.3,0.0,79.9
bluefin tuna cooked,276,44.9,9.4,0.0,72.4
scup cooked,68,12.1,1.8,0.0,39.718
herring cooked,290,32.9,16.6,0.0,158.304
bluefish raw,186,30.1,6.4,0.0,47.9
sheepshead cooked,234,48.4,3.0,0.0,121.48
bass cooked,91,15.0,2.9,0.0,84.379
pout cooked,279,58.4,3.2,0.0,98.207
chinook salmon raw,709,78.9,41.3,0.0,240.5
rockfish raw,172,35.1,2.6,0.0,65.002
tilefish raw,371,67.6,8.9,0.0,177.901
scup raw,174,31.3,4.5,0.0,103.111
sablefish cooked,755,51.9,59.3,0.0,252.4
tuna salad,383,32.9,19.0,19.3,112.727
coho salmon cooked,255,34.7,11.8,0.0,66.478
roe raw,20,3.1,0.9,0.2,9.553
sea bass raw,125,23.8,2.6,0.0,39.739
pink salmon cooked,349,56.0,12.0,0.0,69.873
sockeye salmon cooked,493,82.1,17.3,0.0,102.315
whitefish raw,265,37.8,11.6,0.0,101.603
greenland halibut cooked,760,58.6,56.4,0.0,130.404
northern pike cooked,350,76.5,2.7,0.0,319.506
salmon raw,824,80.9,53.1,0.0,186.3
turbot cooked,388,65.4,12.0,0.0,157.453
